"hgnc_symbol"	"grouping_id"	"study_id"	"description"	"ensembl_gene_id"	"ensembl_version"
"ADD1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000087274"	99
"AIFM3"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000183773"	99
"ANKH"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000154122"	99
"ANXA1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000135046"	99
"APP"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000142192"	99
"ATF3"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000162772"	99
"AVPR1A"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000166148"	99
"BAX"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000087088"	99
"BCAP31"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000185825"	99
"BCL10"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000142867"	99
"BCL2L1"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000171552"	99
"BCL2L10"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000137875"	99
"BCL2L11"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000153094"	99
"BCL2L2"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000129473"	99
"BGN"	"HALLMARK_APOPTOSIS"	"msigdb::M5902"	"Genes mediating programmed cell death (apoptosis) by activation of caspases,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APOPTOSIS.html"	"ENSG00000182492"	99
