hgnc_symbol	grouping_id	study_id	description
HMGB2	G2/M	TiroshI-27124452	Cell cycle; Table S5
CDK1	G2/M	TiroshI-27124452	Cell cycle; Table S5
NUSAP1	G2/M	TiroshI-27124452	Cell cycle; Table S5
UBE2C	G2/M	TiroshI-27124452	Cell cycle; Table S5
BIRC5	G2/M	TiroshI-27124452	Cell cycle; Table S5
TPX2	G2/M	TiroshI-27124452	Cell cycle; Table S5
TOP2A	G2/M	TiroshI-27124452	Cell cycle; Table S5
NDC80	G2/M	TiroshI-27124452	Cell cycle; Table S5
CKS2	G2/M	TiroshI-27124452	Cell cycle; Table S5
NUF2	G2/M	TiroshI-27124452	Cell cycle; Table S5
CKS1B	G2/M	TiroshI-27124452	Cell cycle; Table S5
MKI67	G2/M	TiroshI-27124452	Cell cycle; Table S5
TMPO	G2/M	TiroshI-27124452	Cell cycle; Table S5
CENPF	G2/M	TiroshI-27124452	Cell cycle; Table S5
TACC3	G2/M	TiroshI-27124452	Cell cycle; Table S5
FAM64A	G2/M	TiroshI-27124452	Cell cycle; Table S5
SMC4	G2/M	TiroshI-27124452	Cell cycle; Table S5
CCNB2	G2/M	TiroshI-27124452	Cell cycle; Table S5
CKAP2L	G2/M	TiroshI-27124452	Cell cycle; Table S5
CKAP2	G2/M	TiroshI-27124452	Cell cycle; Table S5
AURKB	G2/M	TiroshI-27124452	Cell cycle; Table S5
BUB1	G2/M	TiroshI-27124452	Cell cycle; Table S5
KIF11	G2/M	TiroshI-27124452	Cell cycle; Table S5
ANP32E	G2/M	TiroshI-27124452	Cell cycle; Table S5
TUBB4B	G2/M	TiroshI-27124452	Cell cycle; Table S5
GTSE1	G2/M	TiroshI-27124452	Cell cycle; Table S5
KIF20B	G2/M	TiroshI-27124452	Cell cycle; Table S5
HJURP	G2/M	TiroshI-27124452	Cell cycle; Table S5
HJURP	G2/M	TiroshI-27124452	Cell cycle; Table S5
CDCA3	G2/M	TiroshI-27124452	Cell cycle; Table S5
HN1	G2/M	TiroshI-27124452	Cell cycle; Table S5
CDC20	G2/M	TiroshI-27124452	Cell cycle; Table S5
TTK	G2/M	TiroshI-27124452	Cell cycle; Table S5
CDC25C	G2/M	TiroshI-27124452	Cell cycle; Table S5
KIF2C	G2/M	TiroshI-27124452	Cell cycle; Table S5
RANGAP1	G2/M	TiroshI-27124452	Cell cycle; Table S5
NCAPD2	G2/M	TiroshI-27124452	Cell cycle; Table S5
DLGAP5	G2/M	TiroshI-27124452	Cell cycle; Table S5
CDCA2	G2/M	TiroshI-27124452	Cell cycle; Table S5
CDCA8	G2/M	TiroshI-27124452	Cell cycle; Table S5
ECT2	G2/M	TiroshI-27124452	Cell cycle; Table S5
KIF23	G2/M	TiroshI-27124452	Cell cycle; Table S5
HMMR	G2/M	TiroshI-27124452	Cell cycle; Table S5
AURKA	G2/M	TiroshI-27124452	Cell cycle; Table S5
PSRC1	G2/M	TiroshI-27124452	Cell cycle; Table S5
ANLN	G2/M	TiroshI-27124452	Cell cycle; Table S5
LBR	G2/M	TiroshI-27124452	Cell cycle; Table S5
CKAP5	G2/M	TiroshI-27124452	Cell cycle; Table S5
CENPE	G2/M	TiroshI-27124452	Cell cycle; Table S5
CTCF	G2/M	TiroshI-27124452	Cell cycle; Table S5
NEK2	G2/M	TiroshI-27124452	Cell cycle; Table S5
G2E3	G2/M	TiroshI-27124452	Cell cycle; Table S5
GAS2L3	G2/M	TiroshI-27124452	Cell cycle; Table S5
CBX5	G2/M	TiroshI-27124452	Cell cycle; Table S5
CENPA	G2/M	TiroshI-27124452	Cell cycle; Table S5
MCM5	S	TiroshI-27124452	Cell cycle; Table S5
PCNA	S	TiroshI-27124452	Cell cycle; Table S5
TYMS	S	TiroshI-27124452	Cell cycle; Table S5
FEN1	S	TiroshI-27124452	Cell cycle; Table S5
MCM2	S	TiroshI-27124452	Cell cycle; Table S5
MCM4	S	TiroshI-27124452	Cell cycle; Table S5
RRM1	S	TiroshI-27124452	Cell cycle; Table S5
UNG	S	TiroshI-27124452	Cell cycle; Table S5
GINS2	S	TiroshI-27124452	Cell cycle; Table S5
MCM6	S	TiroshI-27124452	Cell cycle; Table S5
CDCA7	S	TiroshI-27124452	Cell cycle; Table S5
DTL	S	TiroshI-27124452	Cell cycle; Table S5
PRIM1	S	TiroshI-27124452	Cell cycle; Table S5
UHRF1	S	TiroshI-27124452	Cell cycle; Table S5
MLF1IP	S	TiroshI-27124452	Cell cycle; Table S5
HELLS	S	TiroshI-27124452	Cell cycle; Table S5
RFC2	S	TiroshI-27124452	Cell cycle; Table S5
RPA2	S	TiroshI-27124452	Cell cycle; Table S5
NASP	S	TiroshI-27124452	Cell cycle; Table S5
RAD51AP1	S	TiroshI-27124452	Cell cycle; Table S5
GMNN	S	TiroshI-27124452	Cell cycle; Table S5
WDR76	S	TiroshI-27124452	Cell cycle; Table S5
SLBP	S	TiroshI-27124452	Cell cycle; Table S5
CCNE2	S	TiroshI-27124452	Cell cycle; Table S5
UBR7	S	TiroshI-27124452	Cell cycle; Table S5
POLD3	S	TiroshI-27124452	Cell cycle; Table S5
MSH2	S	TiroshI-27124452	Cell cycle; Table S5
ATAD2	S	TiroshI-27124452	Cell cycle; Table S5
RAD51	S	TiroshI-27124452	Cell cycle; Table S5
RRM2	S	TiroshI-27124452	Cell cycle; Table S5
CDC45	S	TiroshI-27124452	Cell cycle; Table S5
CDC6	S	TiroshI-27124452	Cell cycle; Table S5
EXO1	S	TiroshI-27124452	Cell cycle; Table S5
TIPIN	S	TiroshI-27124452	Cell cycle; Table S5
DSCC1	S	TiroshI-27124452	Cell cycle; Table S5
BLM	S	TiroshI-27124452	Cell cycle; Table S5
CASP8AP2	S	TiroshI-27124452	Cell cycle; Table S5
USP1	S	TiroshI-27124452	Cell cycle; Table S5
CLSPN	S	TiroshI-27124452	Cell cycle; Table S5
POLA1	S	TiroshI-27124452	Cell cycle; Table S5
CHAF1B	S	TiroshI-27124452	Cell cycle; Table S5
BRIP1	S	TiroshI-27124452	Cell cycle; Table S5
E2F8	S	TiroshI-27124452	Cell cycle; Table S5
