"hgnc_symbol"	"grouping_id"	"study_id"	"description"	"ensembl_gene_id"	"ensembl_version"
"ACKR3"	"HALLMARK_HYPOXIA"	"msigdb::M5891"	"Genes up-regulated in response to low oxygen levels (hypoxia),http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html"	"ENSG00000144476"	99
"ADM"	"HALLMARK_HYPOXIA"	"msigdb::M5891"	"Genes up-regulated in response to low oxygen levels (hypoxia),http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html"	"ENSG00000148926"	99
"ADORA2B"	"HALLMARK_HYPOXIA"	"msigdb::M5891"	"Genes up-regulated in response to low oxygen levels (hypoxia),http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html"	"ENSG00000170425"	99
"AK4"	"HALLMARK_HYPOXIA"	"msigdb::M5891"	"Genes up-regulated in response to low oxygen levels (hypoxia),http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html"	"ENSG00000162433"	99
"AKAP12"	"HALLMARK_HYPOXIA"	"msigdb::M5891"	"Genes up-regulated in response to low oxygen levels (hypoxia),http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html"	"ENSG00000131016"	99
"ALDOA"	"HALLMARK_HYPOXIA"	"msigdb::M5891"	"Genes up-regulated in response to low oxygen levels (hypoxia),http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html"	"ENSG00000149925"	99
"ALDOB"	"HALLMARK_HYPOXIA"	"msigdb::M5891"	"Genes up-regulated in response to low oxygen levels (hypoxia),http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html"	"ENSG00000136872"	99
"ALDOC"	"HALLMARK_HYPOXIA"	"msigdb::M5891"	"Genes up-regulated in response to low oxygen levels (hypoxia),http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html"	"ENSG00000109107"	99
"AMPD3"	"HALLMARK_HYPOXIA"	"msigdb::M5891"	"Genes up-regulated in response to low oxygen levels (hypoxia),http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html"	"ENSG00000133805"	99
"ANGPTL4"	"HALLMARK_HYPOXIA"	"msigdb::M5891"	"Genes up-regulated in response to low oxygen levels (hypoxia),http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html"	"ENSG00000167772"	99
"ANKZF1"	"HALLMARK_HYPOXIA"	"msigdb::M5891"	"Genes up-regulated in response to low oxygen levels (hypoxia),http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html"	"ENSG00000163516"	99
"ANXA2"	"HALLMARK_HYPOXIA"	"msigdb::M5891"	"Genes up-regulated in response to low oxygen levels (hypoxia),http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html"	"ENSG00000182718"	99
