"hgnc_symbol"	"grouping_id"	"study_id"	"description"	"ensembl_gene_id"	"ensembl_version"
"ABCA1"	"HALLMARK_INFLAMMATORY_RESPONSE"	"msigdb::M5932"	"Genes defining inflammatory response.,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE.html"	"ENSG00000165029"	99
"ABI1"	"HALLMARK_INFLAMMATORY_RESPONSE"	"msigdb::M5932"	"Genes defining inflammatory response.,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE.html"	"ENSG00000136754"	99
"ACVR1B"	"HALLMARK_INFLAMMATORY_RESPONSE"	"msigdb::M5932"	"Genes defining inflammatory response.,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE.html"	"ENSG00000135503"	99
"ACVR2A"	"HALLMARK_INFLAMMATORY_RESPONSE"	"msigdb::M5932"	"Genes defining inflammatory response.,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE.html"	"ENSG00000121989"	99
"ADGRE1"	"HALLMARK_INFLAMMATORY_RESPONSE"	"msigdb::M5932"	"Genes defining inflammatory response.,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE.html"	"ENSG00000174837"	99
"ADM"	"HALLMARK_INFLAMMATORY_RESPONSE"	"msigdb::M5932"	"Genes defining inflammatory response.,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE.html"	"ENSG00000148926"	99
"ADORA2B"	"HALLMARK_INFLAMMATORY_RESPONSE"	"msigdb::M5932"	"Genes defining inflammatory response.,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE.html"	"ENSG00000170425"	99
"ADRM1"	"HALLMARK_INFLAMMATORY_RESPONSE"	"msigdb::M5932"	"Genes defining inflammatory response.,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE.html"	"ENSG00000130706"	99
"AHR"	"HALLMARK_INFLAMMATORY_RESPONSE"	"msigdb::M5932"	"Genes defining inflammatory response.,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE.html"	"ENSG00000106546"	99
"APLNR"	"HALLMARK_INFLAMMATORY_RESPONSE"	"msigdb::M5932"	"Genes defining inflammatory response.,http://software.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE.html"	"ENSG00000134817"	99
