"hgnc_symbol"	"grouping_id"	"study_id"	"description"	"ensembl_gene_id"	"ensembl_version"
"ABCC8"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000006071"	99
"GIPR"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000010310"	99
"GJD2"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000159248"	99
"GLP1R"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000112164"	99
"INS"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000254647"	99
"KCNJ11"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000187486"	99
"NEUROD1"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000162992"	99
"NKX6-1"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000163623"	99
"PAX6"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000007372"	99
"PCSK1"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000175426"	99
"PCSK2"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000125851"	99
"PDX1"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000139515"	99
"RFX6"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000185002"	99
"SLC2A2"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000163581"	99
"SLC30A8"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000164756"	99
"TCF7L2"	"beta_cell_identity"	"RutterGA-25697093"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000148737"	99
"BMP5"	"beta_cell_maturation"	"VeresA-31068696"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000112175"	99
"HOPX"	"beta_cell_maturation"	"VeresA-31068696"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000171476"	99
"IAPP"	"beta_cell_maturation"	"VeresA-31068696"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000121351"	99
"MAFA"	"beta_cell_maturation"	"VeresA-31068696"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000182759"	99
"MAFB"	"beta_cell_maturation"	"VeresA-31068696"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000204103"	99
"NEFM"	"beta_cell_maturation"	"VeresA-31068696"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000104722"	99
"SIX2"	"beta_cell_maturation"	"VeresA-31068696"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000170577"	99
"SIX3"	"beta_cell_maturation"	"VeresA-31068696"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000138083"	99
"UCN3"	"beta_cell_maturation"	"VeresA-31068696"	"Extended Data Figure 3, VeresA-31068696"	"ENSG00000178473"	99
