"hgnc_symbol"	"grouping_id"	"study_id"	"description"	"ensembl_gene_id"	"ensembl_version"
"CD40LG"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000102245"	99
"CD79A"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000105369"	99
"CEBPG"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000153879"	99
"HDAC4"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000068024"	99
"HDAC5"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000108840"	99
"HDAC7"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000061273"	99
"HDAC9"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000048052"	99
"IL4"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000113520"	99
"IL7"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000104432"	99
"INHA"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000123999"	99
"INHBA"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000122641"	99
"LAT2"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000086730"	99
"LAX1"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000122188"	99
"NFAM1"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000235568"	99
"NHEJ1"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000187736"	99
"PTPRC"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000081237"	99
"SLA2"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000101082"	99
"TGFB1"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000105329"	99
"TNFSF13"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000161955"	99
"TPD52"	"B_CELL_ACTIVATION"	"msigdb::M10657"	"Genes annotated by the GO term GO:0042113. The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen cytokine chemokine cellular ligand or an antigen for which it is specific.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_ACTIVATION.html"	"ENSG00000076554"	99
"CD79A"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000105369"	99
"CEBPG"	"B_CELL_DIFFERENTIATION"	"msigdb::M5982"	"Genes annotated by the GO term GO:0030183. The process whereby a relatively unspecialized hemopoietic stem cell acquires the specialized features of a B cell.,http://software.broadinstitute.org/gsea/msigdb/cards/B_CELL_DIFFERENTIATION.html"	"ENSG00000153879"	99
